fh_operacion,hm_hora,im_transaccion,credPrea
24/10/17,164805,200,100
18/08/17,115053,252,126
18/09/17,103208,351.64,175.82
09/11/17,93236,821,410.5
27/10/17,164203,154,77
28/09/17,122756,75,37.5
01/11/17,170711,382.08,191.04
11/08/17,235442,75,37.5
13/12/17,213715,911,455.5
26/08/17,224520,75,37.5
09/08/17,105454,821,410.5
09/10/17,120344,821,410.5
11/09/17,122549,821,410.5
22/12/17,135344,75,37.5
17/08/17,191402,75,37.5
05/12/17,230334,7474.11,3737.055
14/08/17,143103,5975,2987.5
17/09/17,141812,75,37.5
03/09/17,165004,194,97
23/12/17,190345,28500,14250
28/09/17,230549,75,37.5
12/09/17,114802,1510,755
14/08/17,144018,21877.89,10938.945
22/08/17,120542,2005.51,1002.755
28/08/17,131539,75,37.5
08/08/17,132747,10554.24,5277.12
20/09/17,101308,1115.27,557.635
12/08/17,30533,286,143
07/08/17,103559,119,59.5
19/11/17,142717,174.87,87.435
18/09/17,20804,150,75
20/08/17,104917,170,85
21/11/17,83046,150,75
27/08/17,130623,138,69
19/11/17,124136,1015.7,507.85
22/08/17,112424,202.11,101.055
12/09/17,132832,649,324.5
02/08/17,123001,595.92,297.96
06/12/17,82309,119,59.5
06/09/17,62938,119,59.5
08/09/17,121928,189,94.5
07/11/17,101528,119,59.5
19/08/17,130443,214.73,107.365
06/10/17,54704,119,59.5
30/11/17,92007,526.98,263.49
20/12/17,102457,404.96,202.48
02/10/17,93728,526.98,263.49
31/10/17,91429,526.98,263.49
31/08/17,91623,526.98,263.49
17/10/17,105748,210.94,105.47
17/08/17,114123,200.19,100.095
17/11/17,103447,207.36,103.68
18/09/17,115645,207.36,103.68
06/09/17,151854,692,346
06/12/17,143545,730.6,365.3
18/09/17,115510,330.79,165.395
06/11/17,154301,730.6,365.3
06/10/17,164613,730.6,365.3
06/08/17,131722,760.99,380.495
17/11/17,103232,309.75,154.875
20/12/17,103913,252.53,126.265
17/08/17,113637,727.93,363.965
17/10/17,110010,223.46,111.73
19/11/17,71939,493.8,246.9
31/12/17,134439,520.26,260.13
02/10/17,114453,255.09,127.545
19/09/17,73957,49,24.5
21/11/17,90504,49,24.5
19/10/17,163527,49,24.5
19/12/17,64614,49,24.5
04/09/17,62035,49,24.5
25/09/17,54937,50.03,25.015
24/10/17,55427,50.03,25.015
24/08/17,60433,50.03,25.015
23/11/17,73939,50,25
26/12/17,64027,50,25
11/08/17,71802,58,29
06/09/17,60526,58,29
05/12/17,83601,58,29
07/11/17,104342,58,29
05/10/17,62305,58,29
26/08/17,123803,188.04,94.02
15/08/17,204749,156.1,78.05
17/08/17,154317,285.51,142.755
19/08/17,203558,186.92,93.46
18/08/17,210556,95.9,47.95
17/08/17,205315,226.5,113.25
15/08/17,210024,30,15
16/10/17,214632,192,96
22/08/17,212100,121.3,60.65
27/08/17,192706,188.04,94.02
08/09/17,90033,5306.21,2653.105
18/08/17,173550,60,30
16/08/17,202930,155.8,77.9
18/08/17,214845,311.4,155.7
14/11/17,153020,96,48
18/08/17,204444,306,153
27/11/17,150356,815,407.5
08/09/17,90318,227.99,113.995
27/11/17,115000,37,18.5
26/11/17,132155,240.9,120.45
27/08/17,194148,133.8,66.9
21/09/17,182141,60.69,30.345
24/08/17,202532,312.4,156.2
25/10/17,210632,239.55,119.775
18/08/17,111656,233.55,116.775
15/08/17,113036,312.2,156.1
31/10/17,74223,250,125
04/11/17,175325,143.88,71.94
10/09/17,145816,200,100
18/10/17,204655,1128.04,564.02
11/09/17,212418,463.12,231.56
11/08/17,85559,55,27.5
07/09/17,80727,32,16
15/08/17,193816,247,123.5
13/09/17,151146,166.76,83.38
01/09/17,101153,1,0.5
25/08/17,160114,416,208
03/09/17,192444,155,77.5
23/08/17,81706,32,16
01/08/17,213845,148,74
01/09/17,71139,100,50
24/08/17,161735,935.66,467.83
07/11/17,71838,200,100
10/10/17,42330,71,35.5
08/10/17,85459,32,16
10/10/17,175307,311.34,155.67
15/11/17,73641,150,75
10/10/17,72335,200,100
15/10/17,104344,150,75
17/12/17,132421,200,100
02/12/17,101836,51,25.5
05/12/17,55254,42,21
20/10/17,133958,32,16
17/09/17,190152,2590,1295
12/10/17,75832,200,100
14/10/17,202711,549.66,274.83
23/11/17,190519,916.41,458.205
05/09/17,144819,434.15,217.075
16/10/17,82939,42,21
21/10/17,93331,402.64,201.32
25/11/17,93008,51,25.5
27/09/17,183704,100,50
05/09/17,135644,200,100
28/10/17,122015,51,25.5
24/10/17,30105,45,22.5
14/11/17,61518,32,16
17/09/17,172930,179,89.5
24/11/17,82932,32,16
08/10/17,194641,406.05,203.025
13/10/17,92845,42,21
21/11/17,102411,81.9,40.95
07/12/17,103822,32,16
08/10/17,174320,92,46
15/12/17,103046,32,16
04/11/17,184308,200.01,100.005
26/10/17,65944,200,100
22/10/17,31905,32,16
23/12/17,190731,388.13,194.065
17/11/17,23034,32,16
24/10/17,142213,479.99,239.995
17/11/17,202854,119,59.5
12/11/17,182005,880.47,440.235
29/10/17,122742,41.5,20.75
10/11/17,93334,32,16
25/12/17,10126,3,1.5
30/10/17,204440,319.03,159.515
11/11/17,104206,34,17
20/12/17,91043,32,16
11/11/17,165601,200,100
03/12/17,201555,315.73,157.865
25/12/17,10317,79.55,39.775
29/11/17,145651,472.74,236.37
13/12/17,100023,32,16
27/11/17,92932,32,16
25/11/17,65644,100,50
21/12/17,100427,32,16
25/11/17,91354,150,75
09/12/17,100421,83.8,41.9
28/12/17,131651,471.79,235.895
25/12/17,13727,1.3,0.65
27/12/17,91816,32,16
01/11/17,62655,32,16
18/12/17,95526,42,21
11/11/17,115614,65,32.5
27/10/17,95709,82,41
26/11/17,201549,397.12,198.56
10/12/17,212622,355.77,177.885
14/11/17,183401,66.1,33.05
02/11/17,150705,200,100
03/11/17,121952,32,16
08/11/17,105430,56.88,28.44
03/12/17,162006,97.18,48.59
03/08/17,125630,90.24,45.12
27/08/17,191237,96.16,48.08
06/09/17,124052,27.62,13.81
06/09/17,144950,29.21,14.605
08/09/17,180458,33.69,16.845
06/09/17,153704,53.87,26.935
05/08/17,93944,54.41,27.205
05/08/17,113457,41.47,20.735
13/09/17,85009,28.35,14.175
04/08/17,103545,46.64,23.32
06/11/17,83809,56.08,28.04
08/08/17,213455,62.65,31.325
06/09/17,145804,28.87,14.435
29/09/17,151802,43.29,21.645
08/09/17,183200,8.69,4.345
06/09/17,194527,65.43,32.715
15/09/17,71850,55.06,27.53
05/08/17,132439,27,13.5
07/10/17,91651,59.32,29.66
16/11/17,74516,51.1,25.55
21/12/17,113817,58.15,29.075
31/12/17,213907,156.01,78.005
08/09/17,180040,33.11,16.555
05/10/17,163441,365.61,182.805
09/11/17,175318,53.67,26.835
23/09/17,211143,99,49.5
03/11/17,193006,126,63
30/09/17,184533,365,182.5
26/10/17,90619,452.91,226.455
30/09/17,185538,300,150
10/10/17,121531,227.3,113.65
25/09/17,61523,99,49.5
10/10/17,101027,299,149.5
25/11/17,51522,99,49.5
12/10/17,231913,839.3,419.65
20/12/17,115206,1199,599.5
17/10/17,80322,599,299.5
02/11/17,90524,470.35,235.175
09/10/17,124444,420.02,210.01
05/10/17,73913,111,55.5
25/10/17,215400,153,76.5
18/10/17,174525,1,0.5
07/10/17,213408,134,67
01/11/17,194512,2729.98,1364.99
02/11/17,91307,65,32.5
31/10/17,200843,196,98
26/11/17,123119,161.51,80.755
07/11/17,141527,496.2,248.1
22/10/17,133950,930.5,465.25
22/10/17,125857,305,152.5
19/10/17,151921,3125.56,1562.78
10/11/17,224007,153,76.5
11/11/17,182331,3371.64,1685.82
12/11/17,163649,793.72,396.86
18/11/17,134058,2432.83,1216.415
20/11/17,150800,117.3,58.65
25/10/17,61522,99,49.5
09/12/17,190824,218.1,109.05
08/12/17,200854,423,211.5
16/12/17,180327,130,65
27/11/17,141608,485,242.5
16/10/17,141709,436.48,218.24
05/11/17,134401,562.17,281.085
16/12/17,220657,76.5,38.25
02/11/17,223953,757.19,378.595
07/12/17,73419,183,91.5
25/11/17,133413,2161.87,1080.935
30/11/17,221118,256,128
22/12/17,150917,549,274.5
30/11/17,221257,38.7,19.35
