fh_operacion,hm_hora,im_transaccion,credPrea
17/11/17,191507,1498.34,749.17
20/11/17,172359,1,0.5
20/11/17,184450,755.3,377.65
08/11/17,183841,2999,1499.5
17/11/17,190832,5706.5,2853.25
24/08/17,190346,11156.04,5578.02
05/08/17,130906,970,485
28/12/17,140421,989.5,494.75
03/08/17,112027,170.5,85.25
07/09/17,173800,1539.3,769.65
06/08/17,132958,261,130.5
22/12/17,134000,1245.77,622.885
17/11/17,221442,99,49.5
17/08/17,231438,99,49.5
27/12/17,131529,1096,548
29/09/17,184055,2010,1005
07/09/17,171138,452.45,226.225
17/10/17,231444,99,49.5
13/12/17,102644,249,124.5
11/10/17,100328,215.17,107.585
17/09/17,231440,99,49.5
29/11/17,135839,699,349.5
22/10/17,151552,874,437
30/12/17,170036,607.6,303.8
13/11/17,125455,249,124.5
03/10/17,123527,1990,995
17/12/17,221443,99,49.5
30/12/17,103006,104.65,52.325
29/08/17,142519,1843,921.5
03/10/17,113906,394,197
30/12/17,123309,699,349.5
27/09/17,194214,525,262.5
30/12/17,194126,112.59,56.295
27/12/17,140820,470.4,235.2
27/12/17,141057,501,250.5
19/08/17,140002,2356.04,1178.02
03/08/17,204801,502.36,251.18
04/11/17,161930,1586.28,793.14
28/10/17,165523,1655.54,827.77
29/10/17,83612,417,208.5
02/08/17,120940,540.02,270.01
12/11/17,141012,1003.38,501.69
14/10/17,170724,3677.55,1838.775
29/12/17,170741,656.26,328.13
16/08/17,124402,6994.22,3497.11
30/09/17,114737,1144.53,572.265
26/08/17,185311,1187.87,593.935
26/08/17,171620,2898.5,1449.25
09/12/17,135503,3340,1670
26/10/17,211607,112.41,56.205
29/12/17,170419,3917.31,1958.655
02/08/17,121131,540.01,270.005
09/09/17,131751,2898.84,1449.42
10/08/17,182538,300,150
14/11/17,32547,129,64.5
12/12/17,154153,389.8,194.9
14/10/17,24051,129,64.5
14/09/17,42314,129,64.5
14/12/17,25854,149,74.5
14/08/17,43622,129,64.5
19/10/17,12903,233,116.5
15/12/17,80028,300.37,150.185
15/09/17,60837,300.37,150.185
16/10/17,65503,300.37,150.185
15/08/17,54405,300.37,150.185
15/11/17,63916,300.37,150.185
29/08/17,160952,469,234.5
02/08/17,172833,469,234.5
12/08/17,140712,72.5,36.25
08/10/17,144919,154.16,77.08
04/10/17,101427,748,374
04/12/17,104424,816,408
02/12/17,161830,157,78.5
04/11/17,102013,816,408
04/08/17,104228,748,374
08/10/17,141909,74,37
05/09/17,130138,748,374
28/08/17,84921,89.95,44.975
23/09/17,161803,55.75,27.875
10/08/17,120914,75.13,37.565
09/11/17,191920,76.05,38.025
25/10/17,134647,145,72.5
23/10/17,130759,200,100
09/12/17,214506,92.75,46.375
13/12/17,101701,40.14,20.07
14/12/17,162929,40.14,20.07
14/12/17,170958,72.89,36.445
14/12/17,180229,97.34,48.67
13/08/17,142416,500,250
23/10/17,64651,381.48,190.74
21/11/17,75049,381.48,190.74
21/08/17,73734,381.48,190.74
21/09/17,80318,381.48,190.74
21/12/17,81117,381.48,190.74
10/10/17,55639,202.63,101.315
11/12/17,82409,211.35,105.675
10/08/17,73820,202.63,101.315
10/11/17,70359,211.35,105.675
11/09/17,70556,202.63,101.315
22/12/17,184800,300,150
18/08/17,222833,579,289.5
25/09/17,195525,1278.37,639.185
27/12/17,210749,800,400
07/12/17,134612,294.01,147.005
22/12/17,121055,17,8.5
24/12/17,124217,612.74,306.37
